Power,Real Part,Imaginary Part
1,0.9588645101370893,0.28386636867904425
2,0.8388410335334131,0.5443787730956523
3,0.6498040711972897,0.7601042436814986
4,0.407306030942277,0.9132945053144167
5,0.13129770307722105,0.991346172393862
6,-0.15551313031805086,0.9878376641571491
7,-0.4295299120909823,0.9030575303517152
8,-0.668208650595554,0.7439807200820108
9,-0.8519126657995723,0.523694745548392
10,-0.9655281466866068,0.2603229507794177
11,-0.9997076041177918,-0.024466530180786594
12,-0.9516389170261335,-0.3072434547982994
13,-0.8252767001876563,-0.564743128447865
14,-0.631016957744052,-0.7757804432501437
15,-0.3848417887578091,-0.922992827060685
16,-0.10700451112301607,-0.994268706070218
17,0.17963661894293526,-0.9837439577954241
18,0.4514990036347386,-0.8922843734907185
19,0.6862158958794738,-0.7274144360661576
20,0.8644765633415705,-0.5026982724120799
21,0.9716150295643555,-0.23662370987925868
22,0.9988166826318481,0.048918752536219745
23,0.9438434804657742,0.3304369203619119
24,0.8112180878822774,0.5847696571752429
25,0.6118517953555604,0.7909924036842727
26,0.3621468307435448,0.9321386909982156
27,0.08264691813970737,0.9965960150956262
28,-0.20365289516883078,0.9790612303540758
29,-0.4731980897391096,0.8809768592151267
30,-0.7038125564311655,0.7104124211533223
31,-0.8765230764079834,0.4814005435796541
32,-0.9771202944698699,0.21278247363591488
33,-0.9973277606114319,-0.07334202740510073
34,-0.935482859633756,-0.3534328769678232
35,-0.7966736065877215,-0.6044463647658163
36,-0.5923200528925625,-0.8057310111798128
37,-0.33923474108549384,-0.9407266138475839
38,-0.058239506039777206,-0.9983266978416012
39,0.2275475790421797,-0.9737922771758377
40,0.4946141754807627,-0.8691417498650789
