Book,Author
A Clash of Kings,George R.R. Martin
Mort,Terry Pratchett
The Dark Talent,Brandon Sanderson
How the King of Elfhame Learned to Hate Stories,Holly Black
Alcatraz Versus the Shattered Lens,Brandon Sanderson
Alcatraz Versus the Knights of Crystallia,Brandon Sanderson
Alcatraz Versus the Scrivener's Bones,Brandon Sanderson
Rhythm of War,Brandon Sanderson
Alcatraz Versus the Evil Librarians,Brandon Sanderson
Dawnshard,Brandon Sanderson
The Silver Mask,Holly Black
The Golden Tower,Holly Black
The Bronze Key,Holly Black
The Copper Gauntlet,Holly Black
The Iron Trial,Holly Black
The Magician's Nephew,C.S. Lewis
The Rithmatist,Brandon Sanderson
The Light of All That Falls,James Islington
An Echo of Things to Come,James Islington
The Shadow of What Was Lost,James Islington
Royal Assassin,Robin Hobb
The Titan's Curse,Rick Riordan
The Battle of the Labyrinth,Rick Riordan
The Lightning Thief,Rick Riordan
The Sea of Monsters,Rick Riordan
The Tower of Nero,Rick Riordan
City of Ashes,Cassandra Clare
City of Bones,Cassandra Clare
Mistborn,Brandon Sanderson
Morning Star,Pierce Brown
Golden Son,Pierce Brown
Red Rising,Pierce Brown
Assassin's Apprentice,Robin Hobb
Glass Sword,Victoria Aveyard
Red Queen,Victoria Aveyard
The One,Kiera Cass
The Prince,Kiera Cass
The Selection,Kiera Cass
The Elite,Kiera Cass
Fool Moon,Jim Butcher
The Queen of Nothing,Holly Black
Sixth of the Dusk,Brandon Sanderson
The Wicked King,Holly Black
The Lost Sisters,Holly Black
New Spring,Robert Jordan
The Cruel Prince,Holly Black
Shadows for Silence in the Forests of Hell,Brandon Sanderson
Storm Front,Jim Butcher
Legion,Brandon Sanderson
Skin Deep,Brandon Sanderson
Lies of the Beholder,Brandon Sanderson
Redemption,Brandon Sanderson
Awakening,Brandon Sanderson
White Sand,Brandon Sanderson
A Memory of Light,Robert Jordan
Towers of Midnight,Robert Jordan
The Gathering Storm,Robert Jordan
Knife of Dreams,Robert Jordan
Crossroads of Twilight,Robert Jordan
Winter's Heart,Robert Jordan
The Path of Daggers,Robert Jordan
A Crown of Swords,Robert Jordan
Lord of Chaos,Robert Jordan
The Fires of Heaven,Robert Jordan
The Shadow Rising,Robert Jordan
The Dragon Reborn,Robert Jordan
The Great Hunt,Robert Jordan
The Eye of the World,Robert Jordan
Firefight,Brandon Sanderson
Mitosis,Brandon Sanderson
Calamity,Brandon Sanderson
Steelheart,Brandon Sanderson
Starsight,Brandon Sanderson
The Wise Man's Fear,Patrick Rothfuss
The Name of the Wind,Patrick Rothfuss
Skyward,Brandon Sanderson
The Bands of Mourning,Brandon Sanderson
Shadows of Self,Brandon Sanderson
The Alloy of Law,Brandon Sanderson
Warbreaker,Brandon Sanderson
Edgedancer,Brandon Sanderson
The Emperor's Soul,Brandon Sanderson
Oathbringer,Brandon Sanderson
Words of Radiance,Brandon Sanderson
Mockingjay,Suzanne Collins
The Way of Kings,Brandon Sanderson
Elantris,Brandon Sanderson
Catching Fire,Suzanne Collins
The Hunger Games,Suzanne Collins
The Tyrant’s Tomb,Rick Riordan
Neverseen,Shannon Messenger
Kingdom of Ash,Sarah J. Maas
Everblaze,Shannon Messenger
Exile,Shannon Messenger
The Burning Maze,Rick Riordan
Keeper of the Lost Cities,Shannon Messenger
The Dark Prophecy,Rick Riordan
The Hidden Oracle,Rick Riordan
Tower of Dawn,Sarah J. Maas
Empire of Storms,Sarah J. Maas
Queen of Shadows,Sarah J. Maas
Heir of Fire,Sarah J. Maas
The Assassin and the Underworld,Sarah J. Maas
Crown of Midnight,Sarah J. Maas
The Assassin and the Healer,Sarah J. Maas
The Assassin and the Pirate Lord,Sarah J. Maas
The Assassin and the Desert,Sarah J. Maas
The Assassin and the Empire,Sarah J. Maas
Throne of Glass,Sarah J. Maas
The Hero of Ages,Brandon Sanderson
The Well of Ascension,Brandon Sanderson
The Ship of the Dead,Rick Riordan
The Hammer of Thor,Rick Riordan
The Sword of Summer,Rick Riordan
Jane Eyre,Charlotte Brontë
The Eleventh Metal,Brandon Sanderson
